relation,type,run,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_x,fault,26,0.07277189,0.10236219,0.65955941,0.05090809,0.37233173,1.60154761,2.34611895,40,True
fault_x,fault,27,0.00026956,0.07393672,0.8548392,0.04410012,0.64928253,2.25687851,3.80885246,40,True
fault_x,fault,28,0.01278273,0.07126198,0.61455861,0.02989412,0.25942381,2.56550507,3.86815836,40,True
fault_x,fault,29,0.04163421,0.11965651,0.58231444,0.03306041,0.32358423,1.97862787,3.31645729,40,True
fault_x,fault,30,0.0124632,0.07286388,0.5128341,0.04657771,0.68246355,1.76181667,3.27659238,40,True
fault_replace_rot,fault,1,0.00122997,0.00425368,0.05419505,0.00081165,0.00900756,0.89559677,1.50193403,40,True
fault_replace_rot,fault,2,0.02650229,0.01620546,0.39089353,0.01947204,0.4088324,0.02960853,0.2786232,40,True
fault_replace_rot,fault,3,0.01065919,0.07270125,0.96884254,0.03653341,0.49217876,1.2958803,3.24239614,40,True
fault_replace_rot,fault,4,0.01065833,0.05349979,1.05317671,0.06002341,1.04642217,0.9332263,2.05049232,40,True
fault_replace_rot,fault,5,0.03605262,0.01488149,0.41621804,0.01462145,0.44025128,0.89611691,1.49515366,40,True
fault_replace_rot,fault,6,0.00805349,0.02770426,0.76051569,0.02780766,0.76250707,0.0237757,0.2861656,40,True
fault_replace_rot,fault,7,0.00024665,0.00266046,0.06221925,0.00112598,0.0359462,0.80514425,1.7349228,40,True
fault_replace_rot,fault,8,0.01688742,0.05080353,0.60480139,0.04748811,0.67462136,2.46795018,3.60529488,40,True
fault_replace_rot,fault,9,0.02144841,0.07003844,0.6449554,0.03414878,0.3762162,1.72116024,3.06431817,40,True
fault_replace_rot,fault,10,0.03393357,0.04062839,0.42410111,0.02473199,0.38814243,0.41835947,1.78435628,40,True
fault_replace_rot,fault,11,0.00017351,0.02281354,0.81388637,0.02121521,0.7499695,0.23128103,2.00796695,40,True
fault_replace_rot,fault,12,0.00024897,0.05005175,0.93250457,0.04128582,0.93750206,0.26488882,1.77014656,40,True
fault_replace_rot,fault,13,0.00812818,0.02022243,0.33817603,0.01814708,0.37913178,0.83193126,2.12711052,40,True
fault_replace_rot,fault,14,0.00149561,0.0026119,0.03791379,0.00162053,0.02214067,1.13609352,1.42467032,40,True
fault_replace_rot,fault,15,0.00126366,0.01512331,0.54421168,0.02217495,0.76706703,0.92533175,2.40646504,40,True
fault_replace_rot,fault,16,0.00401647,0.03728331,0.34115086,0.00842574,0.11879334,0.58449764,1.88046698,40,True
fault_replace_rot,fault,17,0.00474714,0.009882,0.18597248,0.00184615,0.01803165,0.5437415,1.42451823,40,True
fault_replace_rot,fault,18,0.00169812,0.01403048,0.45701231,0.0153936,0.50513002,0.22554367,1.01604185,40,True
fault_replace_rot,fault,19,0.01308105,0.02951933,0.3568838,0.0249432,0.379654,0.24685375,1.72094868,40,True
fault_replace_rot,fault,20,0.01034876,0.02209049,0.28435024,0.02090383,0.30781788,0.24248665,1.69230453,40,True
fault_replace_rot,fault,21,0.00852558,0.06397521,0.63466449,0.03866612,0.54554242,1.23782484,2.58997822,40,True
fault_replace_rot,fault,22,0.02201768,0.0217483,0.39886824,0.01451344,0.42245579,0.63022313,1.05500427,40,True
fault_replace_rot,fault,23,0.05280226,0.09454394,0.90914233,0.06316134,0.89712668,1.27421761,2.60930985,40,True
