relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_x,fault,14,48,48,33,34,0.09637486,0.35007421,1.3565811,0.16714113,1.07412812,2.94884128,4.17778381,120,True
fault_x,fault,15,48,48,33,33,0.02044822,0.31015346,1.53623781,0.06798613,0.85758508,2.28685905,2.94918991,120,True
fault_x,fault,16,48,48,33,33,0.22849817,0.51348341,1.47886226,0.19299731,1.22041922,2.39767714,3.36146482,120,True
fault_x,fault,17,48,48,33,33,0.2114976,0.58585048,2.01431836,0.19426897,1.35021214,2.64254162,3.62724277,120,True
fault_x,fault,18,48,48,33,33,0.16441457,0.66145159,1.95563306,0.69288953,1.95325373,3.65027463,5.27240258,120,True
fault_x,fault,19,48,48,33,33,0.05633203,0.51219883,1.97199928,0.57930856,1.97541912,3.7643248,5.2835359,120,True
fault_x,fault,20,48,48,33,34,0.42254155,0.89102424,3.81678946,1.13435747,3.85218177,4.97733416,6.61839623,120,True
fault_x,fault,21,48,48,33,33,0.34872832,0.82161725,2.06830317,0.82787695,1.85989509,4.11204896,6.15609984,120,True
fault_x,fault,22,48,48,33,34,0.12334776,0.39180703,1.24955237,0.18311976,1.21509395,3.29346383,4.62482117,120,True
fault_x,fault,23,48,48,33,33,0.13942849,0.45569788,1.96579444,0.61993354,1.96862213,3.86256073,4.86858292,120,True
fault_x,fault,24,48,48,33,34,0.68524026,1.09162971,3.91464963,1.06032044,3.91562351,3.86271665,5.27994066,120,True
fault_x,fault,25,48,48,33,33,0.15948865,0.48528069,1.23686369,0.02146802,0.24065087,2.35041923,2.97737351,120,True
fault_x,fault,26,48,48,33,33,0.09769272,0.43674929,1.77273213,0.1102369,1.32880109,2.70159624,3.4818744,120,True
fault_x,fault,27,48,48,33,33,0.03949409,0.32996659,1.55574157,0.04559172,0.532466,1.90749768,2.89410747,120,True
fault_x,fault,28,48,48,33,33,0.15751008,0.39843262,1.52329955,0.06188862,0.41598633,2.44585283,3.05986087,120,True
fault_x,fault,29,48,48,33,33,0.22026765,0.54232795,1.490385,0.17832776,0.94662441,2.44540205,3.55757818,120,True
fault_x,fault,30,48,48,33,33,0.21883656,0.45641327,1.12220215,0.07522336,0.94439424,2.84413484,3.69843295,120,True
