test_id,relation,type,tvd,p_value,violation,expected_violation
60,fault_add_x,fault,0.0061,0.9382,False,True
60,fault_remove_random,fault,0.7465,0.0,True,True
60,fault_change_target_qubit,fault,1.0,0.0,True,True
61,identity,valid,0.0103,0.0627,False,
61,barrier,valid,0.0111,0.1279,False,
61,commute,valid,0.0079,0.3527,False,
61,fault_add_x,fault,0.0059,0.5758,False,True
61,fault_remove_random,fault,0.0037,0.8957,False,True
61,fault_change_target_qubit,fault,0.0022,0.9673,False,True
62,identity,valid,0.0,1.0,False,
62,barrier,valid,0.0,1.0,False,
62,commute,valid,0.0,1.0,False,
62,fault_add_x,fault,1.0,0.0,True,True
62,fault_remove_random,fault,1.0,0.0,True,True
62,fault_change_target_qubit,fault,0.7489,0.0,True,True
63,identity,valid,0.0093,0.5031,False,
63,barrier,valid,0.0117,0.269,False,
63,commute,valid,0.0129,0.1407,False,
63,fault_add_x,fault,1.0,0.0,True,True
63,fault_remove_random,fault,0.4995,0.0,True,True
63,fault_change_target_qubit,fault,0.5051,0.0,True,True
64,identity,valid,0.0112,0.0264,True,
64,barrier,valid,0.0047,0.3524,False,
64,commute,valid,0.0012,0.8259,False,
64,fault_add_x,fault,1.0,0.0,True,True
64,fault_remove_random,fault,1.0,0.0,True,True
64,fault_change_target_qubit,fault,1.0,0.0,True,True
65,identity,valid,0.0,1.0,False,
65,barrier,valid,0.0,1.0,False,
65,commute,valid,0.0,1.0,False,
65,fault_add_x,fault,1.0,0.0,True,True
65,fault_remove_random,fault,1.0,0.0,True,True
65,fault_change_target_qubit,fault,1.0,0.0,True,True
66,identity,valid,0.0051,0.3125,False,
66,barrier,valid,0.0002,0.9761,False,
66,commute,valid,0.002,0.6892,False,
66,fault_add_x,fault,1.0,0.0,True,True
66,fault_remove_random,fault,0.0055,0.2801,False,True
66,fault_change_target_qubit,fault,0.5019,0.0,True,True
67,identity,valid,0.0052,0.3077,False,
67,barrier,valid,0.0045,0.3735,False,
67,commute,valid,0.0001,0.992,False,
67,fault_add_x,fault,1.0,0.0,True,True
67,fault_remove_random,fault,1.0,0.0,True,True
67,fault_change_target_qubit,fault,0.5028,0.0,True,True
68,identity,valid,0.0051,0.686,False,
68,barrier,valid,0.0066,0.4594,False,
68,commute,valid,0.0107,0.0934,False,
68,fault_add_x,fault,0.0047,0.694,False,True
68,fault_remove_random,fault,0.0069,0.3518,False,True
68,fault_change_target_qubit,fault,0.4989,0.0,True,True
69,identity,valid,0.0068,0.4884,False,
69,barrier,valid,0.0058,0.6236,False,
69,commute,valid,0.0054,0.6507,False,
69,fault_add_x,fault,0.0021,0.9812,False,True
69,fault_remove_random,fault,0.5008,0.0,True,True
69,fault_change_target_qubit,fault,0.0064,0.5707,False,True
70,identity,valid,0.0027,0.9371,False,
70,barrier,valid,0.0112,0.1303,False,
70,commute,valid,0.0089,0.1576,False,
70,fault_add_x,fault,1.0,0.0,True,True
70,fault_remove_random,fault,0.5025,0.0,True,True
70,fault_change_target_qubit,fault,0.0082,0.2958,False,True
71,identity,valid,0.0013,0.7949,False,
71,barrier,valid,0.0071,0.1585,False,
71,commute,valid,0.0066,0.1902,False,
71,fault_add_x,fault,1.0,0.0,True,True
71,fault_remove_random,fault,1.0,0.0,True,True
71,fault_change_target_qubit,fault,0.498,0.0,True,True
72,identity,valid,0.0088,0.9949,False,
72,barrier,valid,0.0148,0.7472,False,
72,commute,valid,0.0083,0.9967,False,
72,fault_add_x,fault,0.0103,0.9673,False,True
72,fault_remove_random,fault,0.7516,0.0,True,True
72,fault_change_target_qubit,fault,0.7522,0.0,True,True
73,identity,valid,0.008,0.1118,False,
73,barrier,valid,0.0049,0.3271,False,
73,commute,valid,0.0009,0.865,False,
73,fault_add_x,fault,1.0,0.0,True,True
73,fault_remove_random,fault,0.5038,0.0,True,True
73,fault_change_target_qubit,fault,0.5038,0.0,True,True
74,identity,valid,0.0029,0.931,False,
74,barrier,valid,0.0046,0.7134,False,
74,commute,valid,0.004,0.8328,False,
74,fault_add_x,fault,1.0,0.0,True,True
74,fault_remove_random,fault,0.0036,0.8629,False,True
74,fault_change_target_qubit,fault,0.0035,0.9103,False,True
75,identity,valid,0.0,1.0,False,
75,barrier,valid,0.0,1.0,False,
75,commute,valid,0.0,1.0,False,
75,fault_add_x,fault,0.0,1.0,False,True
75,fault_remove_random,fault,0.0,1.0,False,True
75,fault_change_target_qubit,fault,0.7482,0.0,True,True
76,identity,valid,0.002,0.7039,False,
76,barrier,valid,0.0044,0.3843,False,
76,commute,valid,0.0057,0.2585,False,
76,fault_add_x,fault,0.0025,0.6241,False,True
76,fault_remove_random,fault,1.0,0.0,True,True
76,fault_change_target_qubit,fault,1.0,0.0,True,True
77,identity,valid,0.0118,0.4353,False,
77,barrier,valid,0.0084,0.4221,False,
77,commute,valid,0.007,0.9403,False,
77,fault_add_x,fault,0.0114,0.5208,False,True
77,fault_remove_random,fault,0.0118,0.3457,False,True
77,fault_change_target_qubit,fault,0.7505,0.0,True,True
78,identity,valid,0.0039,0.4413,False,
78,barrier,valid,0.0035,0.4965,False,
78,commute,valid,0.0052,0.303,False,
78,fault_add_x,fault,1.0,0.0,True,True
78,fault_remove_random,fault,1.0,0.0,True,True
78,fault_change_target_qubit,fault,0.5003,0.0,True,True
79,identity,valid,0.0045,0.764,False,
79,barrier,valid,0.0086,0.2448,False,
79,commute,valid,0.0118,0.1213,False,
79,fault_add_x,fault,0.0127,0.0641,False,True
79,fault_remove_random,fault,0.499,0.0,True,True
79,fault_change_target_qubit,fault,0.5043,0.0,True,True
80,identity,valid,0.0015,0.7718,False,
80,barrier,valid,0.0041,0.4179,False,
80,commute,valid,0.0043,0.3898,False,
80,fault_add_x,fault,0.0011,0.8337,False,True
80,fault_remove_random,fault,0.5032,0.0,True,True
80,fault_change_target_qubit,fault,1.0,0.0,True,True
81,identity,valid,0.0,1.0,False,
81,barrier,valid,0.0,1.0,False,
81,commute,valid,0.0,1.0,False,
81,fault_add_x,fault,1.0,0.0,True,True
81,fault_remove_random,fault,0.0,1.0,False,True
81,fault_change_target_qubit,fault,1.0,0.0,True,True
82,identity,valid,0.0028,0.5823,False,
82,barrier,valid,0.0044,0.3789,False,
82,commute,valid,0.0014,0.7872,False,
82,fault_add_x,fault,0.0059,0.242,False,True
82,fault_remove_random,fault,0.0012,0.8259,False,True
82,fault_change_target_qubit,fault,0.0024,0.6384,False,True
83,identity,valid,0.0059,0.246,False,
83,barrier,valid,0.001,0.8571,False,
83,commute,valid,0.0032,0.5287,False,
83,fault_add_x,fault,0.0016,0.7642,False,True
83,fault_remove_random,fault,0.0031,0.5353,False,True
83,fault_change_target_qubit,fault,0.4971,0.0,True,True
84,identity,valid,0.0,1.0,False,
84,barrier,valid,0.0,1.0,False,
84,commute,valid,0.0,1.0,False,
84,fault_add_x,fault,1.0,0.0,True,True
84,fault_remove_random,fault,1.0,0.0,True,True
84,fault_change_target_qubit,fault,0.0,1.0,False,True
85,identity,valid,0.0025,0.6171,False,
85,barrier,valid,0.0094,0.0601,False,
85,commute,valid,0.0058,0.2501,False,
85,fault_add_x,fault,1.0,0.0,True,True
85,fault_remove_random,fault,1.0,0.0,True,True
85,fault_change_target_qubit,fault,1.0,0.0,True,True
86,identity,valid,0.0006,0.9124,False,
86,barrier,valid,0.0004,0.9442,False,
86,commute,valid,0.0075,0.1362,False,
86,fault_add_x,fault,0.0017,0.749,False,True
86,fault_remove_random,fault,1.0,0.0,True,True
86,fault_change_target_qubit,fault,0.0066,0.1902,False,True
87,identity,valid,0.0063,0.4325,False,
87,barrier,valid,0.0027,0.935,False,
87,commute,valid,0.0064,0.5622,False,
87,fault_add_x,fault,1.0,0.0,True,True
87,fault_remove_random,fault,1.0,0.0,True,True
87,fault_change_target_qubit,fault,1.0,0.0,True,True
88,identity,valid,0.0,1.0,False,
88,barrier,valid,0.0,1.0,False,
88,commute,valid,0.0,1.0,False,
88,fault_add_x,fault,1.0,0.0,True,True
88,fault_remove_random,fault,1.0,0.0,True,True
88,fault_change_target_qubit,fault,1.0,0.0,True,True
89,identity,valid,0.0048,0.7823,False,
89,barrier,valid,0.0044,0.715,False,
89,commute,valid,0.0028,0.926,False,
89,fault_add_x,fault,1.0,0.0,True,True
89,fault_remove_random,fault,0.0069,0.4668,False,True
89,fault_change_target_qubit,fault,0.5046,0.0,True,True
90,identity,valid,0.0078,0.1236,False,
90,barrier,valid,0.0073,0.1471,False,
90,commute,valid,0.01,0.0466,True,
90,fault_add_x,fault,0.0125,0.0128,True,True
90,fault_remove_random,fault,0.0104,0.0375,True,True
90,fault_change_target_qubit,fault,0.7466,0.0,True,True
91,identity,valid,0.0115,0.298,False,
91,barrier,valid,0.0085,0.8372,False,
91,commute,valid,0.0088,0.7364,False,
91,fault_add_x,fault,0.0077,0.8494,False,True
91,fault_remove_random,fault,0.5013,0.0,True,True
91,fault_change_target_qubit,fault,0.0097,0.6989,False,True
92,identity,valid,0.0,1.0,False,
92,barrier,valid,0.0,1.0,False,
92,commute,valid,0.0,1.0,False,
92,fault_add_x,fault,1.0,0.0,True,True
92,fault_remove_random,fault,1.0,0.0,True,True
92,fault_change_target_qubit,fault,0.0,1.0,False,True
93,identity,valid,0.0107,0.0332,True,
93,barrier,valid,0.0051,0.3125,False,
93,commute,valid,0.0062,0.2187,False,
93,fault_add_x,fault,1.0,0.0,True,True
93,fault_remove_random,fault,0.4954,0.0,True,True
93,fault_change_target_qubit,fault,0.013,0.0096,True,True
94,identity,valid,0.0,1.0,False,
94,barrier,valid,0.0,1.0,False,
94,commute,valid,0.0,1.0,False,
94,fault_add_x,fault,1.0,0.0,True,True
94,fault_remove_random,fault,0.0,1.0,False,True
94,fault_change_target_qubit,fault,1.0,0.0,True,True
95,identity,valid,0.0048,0.3371,False,
95,barrier,valid,0.0033,0.5093,False,
95,commute,valid,0.0081,0.1052,False,
95,fault_add_x,fault,0.0045,0.3735,False,True
95,fault_remove_random,fault,1.0,0.0,True,True
95,fault_change_target_qubit,fault,0.0032,0.5287,False,True
96,identity,valid,0.0122,0.1061,False,
96,barrier,valid,0.0058,0.6308,False,
96,commute,valid,0.0082,0.2003,False,
96,fault_add_x,fault,0.0074,0.3715,False,True
96,fault_remove_random,fault,0.511,0.0,True,True
96,fault_change_target_qubit,fault,0.0041,0.8211,False,True
97,identity,valid,0.0063,0.5532,False,
97,barrier,valid,0.0079,0.2985,False,
97,commute,valid,0.0133,0.0199,True,
97,fault_add_x,fault,0.0178,0.0003,True,True
97,fault_remove_random,fault,0.75,0.0,True,True
97,fault_change_target_qubit,fault,0.0049,0.6776,False,True
98,identity,valid,0.0119,0.4672,False,
98,barrier,valid,0.0177,0.0048,True,
98,commute,valid,0.0091,0.7639,False,
98,fault_add_x,fault,0.0122,0.27,False,True
98,fault_remove_random,fault,0.4909,0.0,True,True
