relation,type,run,num_qubits,reps,maxiter,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_replace_rot,fault,8,6,3,160,48,48,29,29,0.20469541,0.1858464,1.084968,0.07724563,0.83008427,2.08110135,3.11250012,160,True
fault_replace_rot,fault,9,6,3,160,48,48,29,29,0.17690788,0.16202194,1.20152498,0.12943132,0.97346872,2.0450353,3.92728544,160,True
fault_replace_rot,fault,10,6,3,160,48,48,29,29,0.00985773,0.05119729,0.38899685,0.0245135,0.09502812,1.26984681,2.07843446,160,True
fault_replace_rot,fault,11,6,3,160,48,48,29,29,0.42791309,0.29683371,0.85192725,0.11279713,0.83681235,1.41331249,2.62101921,160,True
fault_replace_rot,fault,12,6,3,160,48,48,29,29,0.02293204,0.03861313,0.93898822,0.02017686,0.91690383,0.22326323,0.58139915,160,True
fault_replace_rot,fault,13,6,3,160,48,48,29,29,0.15334709,0.17216592,1.24113553,0.16157023,1.03490885,1.00414578,2.32272383,160,True
fault_replace_rot,fault,14,6,3,160,48,48,29,29,0.0398556,0.13319803,1.26292986,0.11839854,1.05239176,2.22226368,3.48664532,160,True
fault_replace_rot,fault,15,6,3,160,48,48,29,29,0.29856043,0.12788698,0.73180945,0.09449887,0.95126293,0.76844902,2.01849437,160,True
fault_replace_rot,fault,16,6,3,160,48,48,29,29,0.39782965,0.33490532,1.93903655,0.23475173,1.64244398,1.63633823,3.40935861,160,True
fault_replace_rot,fault,17,6,3,160,48,48,29,29,0.74857835,0.41621257,1.51671596,0.1789378,1.07373833,1.62656811,2.80606663,160,True
fault_replace_rot,fault,18,6,3,160,48,48,29,29,0.00035616,0.01963118,0.34535301,0.01489842,0.37300038,0.18959714,0.53055601,160,True
fault_replace_rot,fault,19,6,3,160,48,48,29,29,0.09182741,0.05754573,0.50917346,0.05083968,0.87997285,0.36241416,1.56866757,160,True
fault_replace_rot,fault,20,6,3,160,48,48,29,29,0.4050957,0.49404593,1.66516508,0.46528315,1.61013706,1.64965923,3.00690908,160,True
fault_replace_rot,fault,21,6,3,160,48,48,29,29,0.02829455,0.02553587,0.44106414,0.01399051,0.47778263,0.21573453,0.80716413,160,True
fault_replace_rot,fault,22,6,3,160,48,48,29,29,0.08573302,0.12282782,0.95672022,0.15575645,1.03339279,1.02188855,2.18282573,160,True
fault_replace_rot,fault,23,6,3,160,48,48,29,29,0.10809256,0.16747451,1.16416313,0.13050898,0.98517319,1.84304343,3.68143636,160,True
fault_replace_rot,fault,24,6,3,160,48,48,29,29,0.00478149,0.19695676,0.8660168,0.18479446,0.89325659,2.13324917,3.34961225,160,True
fault_replace_rot,fault,25,6,3,160,48,48,29,29,0.00967616,0.02250614,0.2190754,0.0094827,0.05137071,0.19972814,0.57365111,160,True
fault_replace_rot,fault,26,6,3,160,48,48,29,29,0.02531063,0.0511128,0.71327345,0.04085538,0.46924774,1.26540048,2.24065715,160,True
fault_replace_rot,fault,27,6,3,160,48,48,29,29,0.65632377,0.32508418,1.36990842,0.15766547,1.16581278,1.42534622,2.44317852,160,True
fault_replace_rot,fault,28,6,3,160,48,48,29,29,0.03505857,0.10650941,1.49038951,0.09893391,1.28708212,1.32688381,2.16184754,160,True
fault_replace_rot,fault,29,6,3,160,48,48,29,29,0.21638603,0.16176142,1.0635042,0.10167136,1.06421933,1.68611811,2.7013195,160,True
fault_replace_rot,fault,30,6,3,160,48,48,29,29,0.10225503,0.13271798,0.84013258,0.11353189,0.85578579,1.8417613,3.30676747,160,True
fault_shift_param,fault,1,6,3,160,48,48,29,29,0.13819995,0.2145069,1.08130576,0.15421089,1.095396,1.68371882,2.9236593,160,True
fault_shift_param,fault,2,6,3,160,48,48,29,29,0.15305067,0.09847852,0.82115135,0.06322079,0.70618378,1.42133088,2.65306736,160,True
fault_shift_param,fault,3,6,3,160,48,48,29,29,0.13465188,0.32029925,0.9934157,0.32785498,0.99989468,2.25246791,3.91158296,160,True
fault_shift_param,fault,4,6,3,160,48,48,29,29,0.29099916,0.26881221,1.44305853,0.18750695,1.41945575,2.51224319,3.20690144,160,True
fault_shift_param,fault,5,6,3,160,48,48,29,29,0.04253695,0.12566781,1.25071315,0.10531898,1.05584264,1.71313797,2.70495691,160,True
fault_shift_param,fault,6,6,3,160,48,48,29,29,0.04377214,0.10078278,1.1506979,0.0632078,1.10528723,0.60534816,1.67745481,160,True
fault_shift_param,fault,7,6,3,160,48,48,29,29,0.38828155,0.32442801,1.16654558,0.12792285,0.87661496,3.00480345,4.01699167,160,True
fault_shift_param,fault,8,6,3,160,48,48,29,29,0.4774043,0.42998512,1.91904954,0.13822425,1.19318737,3.6728541,5.05438539,160,True
fault_shift_param,fault,9,6,3,160,48,48,29,29,0.00909555,0.31022099,1.06944916,0.28941292,0.89682856,2.66688084,4.24349442,160,True
fault_shift_param,fault,10,6,3,160,48,48,29,29,0.53541992,0.26163115,0.98964196,0.05468769,1.05612493,1.30766842,1.74282845,160,True
