test_id,relation,type,tvd,p_value,violation,expected_violation
80,barrier,valid,0.0026,0.61,False,
80,commute,valid,0.0073,0.1443,False,
80,fault_add_x,fault,0.0069,0.1707,False,True
80,fault_remove_random,fault,1.0,0.0,True,True
80,fault_change_target_qubit,fault,0.746,0.0,True,True
81,identity,valid,0.0,1.0,False,
81,barrier,valid,0.0,1.0,False,
81,commute,valid,0.0,1.0,False,
81,fault_add_x,fault,1.0,0.0,True,True
81,fault_remove_random,fault,1.0,0.0,True,True
81,fault_change_target_qubit,fault,1.0,0.0,True,True
82,identity,valid,0.0026,0.6171,False,
82,barrier,valid,0.0007,0.8887,False,
82,commute,valid,0.0002,0.9761,False,
82,fault_add_x,fault,1.0,0.0,True,True
82,fault_remove_random,fault,1.0,0.0,True,True
82,fault_change_target_qubit,fault,0.0039,0.4413,False,True
83,identity,valid,0.006,0.238,False,
83,barrier,valid,0.0064,0.2041,False,
83,commute,valid,0.0002,0.9681,False,
83,fault_add_x,fault,0.0021,0.6745,False,True
83,fault_remove_random,fault,0.002,0.6892,False,True
83,fault_change_target_qubit,fault,1.0,0.0,True,True
84,identity,valid,0.0,1.0,False,
84,barrier,valid,0.0,1.0,False,
84,commute,valid,0.0,1.0,False,
84,fault_add_x,fault,1.0,0.0,True,True
84,fault_remove_random,fault,1.0,0.0,True,True
84,fault_change_target_qubit,fault,1.0,0.0,True,True
85,identity,valid,0.0062,0.2187,False,
85,barrier,valid,0.0028,0.5892,False,
85,commute,valid,0.0015,0.7795,False,
85,fault_add_x,fault,1.0,0.0,True,True
85,fault_remove_random,fault,1.0,0.0,True,True
85,fault_change_target_qubit,fault,0.001,0.8415,False,True
86,identity,valid,0.0014,0.7949,False,
86,barrier,valid,0.0007,0.8966,False,
86,commute,valid,0.0062,0.2187,False,
86,fault_add_x,fault,1.0,0.0,True,True
86,fault_remove_random,fault,1.0,0.0,True,True
86,fault_change_target_qubit,fault,0.0048,0.3421,False,True
87,identity,valid,0.0078,0.2478,False,
87,barrier,valid,0.004,0.8148,False,
87,commute,valid,0.0073,0.3613,False,
87,fault_add_x,fault,1.0,0.0,True,True
87,fault_remove_random,fault,0.4988,0.0,True,True
87,fault_change_target_qubit,fault,1.0,0.0,True,True
88,identity,valid,0.0,1.0,False,
88,barrier,valid,0.0,1.0,False,
88,commute,valid,0.0,1.0,False,
88,fault_add_x,fault,1.0,0.0,True,True
88,fault_remove_random,fault,1.0,0.0,True,True
88,fault_change_target_qubit,fault,1.0,0.0,True,True
89,identity,valid,0.0044,0.8144,False,
89,barrier,valid,0.0075,0.5086,False,
89,commute,valid,0.0127,0.044,True,
89,fault_add_x,fault,0.0073,0.4184,False,True
89,fault_remove_random,fault,1.0,0.0,True,True
89,fault_change_target_qubit,fault,0.503,0.0,True,True
90,identity,valid,0.001,0.8572,False,
90,barrier,valid,0.0019,0.7039,False,
90,commute,valid,0.0056,0.267,False,
90,fault_add_x,fault,1.0,0.0,True,True
90,fault_remove_random,fault,0.498,0.0,True,True
90,fault_change_target_qubit,fault,0.5033,0.0,True,True
91,identity,valid,0.0111,0.5307,False,
91,barrier,valid,0.013,0.2688,False,
91,commute,valid,0.0111,0.2105,False,
91,fault_add_x,fault,0.0126,0.227,False,True
91,fault_remove_random,fault,0.0146,0.116,False,True
91,fault_change_target_qubit,fault,0.0126,0.2139,False,True
92,identity,valid,0.0,1.0,False,
92,barrier,valid,0.0,1.0,False,
92,commute,valid,0.0,1.0,False,
92,fault_add_x,fault,1.0,0.0,True,True
92,fault_remove_random,fault,1.0,0.0,True,True
92,fault_change_target_qubit,fault,0.0,1.0,False,True
93,identity,valid,0.003,0.5552,False,
93,barrier,valid,0.0043,0.4009,False,
93,commute,valid,0.0032,0.5353,False,
93,fault_add_x,fault,1.0,0.0,True,True
93,fault_remove_random,fault,0.002,0.6965,False,True
93,fault_change_target_qubit,fault,0.0022,0.6599,False,True
94,identity,valid,0.0,1.0,False,
94,barrier,valid,0.0,1.0,False,
94,commute,valid,0.0,1.0,False,
94,fault_add_x,fault,1.0,0.0,True,True
94,fault_remove_random,fault,1.0,0.0,True,True
94,fault_change_target_qubit,fault,1.0,0.0,True,True
95,identity,valid,0.0061,0.2225,False,
95,barrier,valid,0.0055,0.2801,False,
95,commute,valid,0.0099,0.0477,True,
95,fault_add_x,fault,1.0,0.0,True,True
95,fault_remove_random,fault,1.0,0.0,True,True
95,fault_change_target_qubit,fault,0.0056,0.267,False,True
96,identity,valid,0.0058,0.5563,False,
96,barrier,valid,0.0049,0.7158,False,
96,commute,valid,0.0016,0.9872,False,
96,fault_add_x,fault,1.0,0.0,True,True
96,fault_remove_random,fault,1.0,0.0,True,True
96,fault_change_target_qubit,fault,1.0,0.0,True,True
97,identity,valid,0.0079,0.3997,False,
97,barrier,valid,0.009,0.2909,False,
97,commute,valid,0.0031,0.9124,False,
97,fault_add_x,fault,1.0,0.0,True,True
97,fault_remove_random,fault,0.0057,0.5982,False,True
97,fault_change_target_qubit,fault,1.0,0.0,True,True
98,identity,valid,0.0103,0.4869,False,
98,barrier,valid,0.0063,0.9585,False,
98,commute,valid,0.0083,0.8327,False,
98,fault_add_x,fault,1.0,0.0,True,True
