phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,one_qubit_error_rate,two_qubit_error_rate,readout_error_rate,include_thermal,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
noisy_shot_based,fault_replace_rot,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,33,0.16699219,0.1094206,0.390625,0.04370212,0.24609375,1.16044695,1.79343843,257,True,False,True
noisy_shot_based,fault_replace_rot,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,33,0.07861328,0.05969951,0.30566406,0.03102581,0.19921875,0.80538237,1.30719402,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,33,0.06591797,0.06873556,0.38037109,0.04756657,0.26660156,0.83311948,1.44611257,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,33,0.04541016,0.02685547,0.14306641,0.01850529,0.1328125,0.24893228,0.56416217,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,33,0.08984375,0.07703064,0.26416016,0.02617719,0.11621094,0.44268439,0.85386743,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,48,33,33,0.01708984,0.03035703,0.15527344,0.02512844,0.11425781,0.31683838,0.68224369,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,48,33,33,0.02099609,0.03102961,0.15527344,0.02787953,0.11425781,0.38060051,0.79118618,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,48,33,33,0.02392578,0.04029365,0.24951172,0.03822653,0.31640625,0.56768667,1.23853817,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.00244141,0.06959243,0.42236328,0.0442189,0.61523438,0.85722826,1.83943512,257,False,False,False
noisy_shot_based,fault_replace_rot,fault,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.07519531,0.05802567,0.30859375,0.04903712,0.22363281,1.10939882,1.93221636,257,False,False,False
