test_id,relation,type,tvd,p_value,chi2_stat,tvd_violation,chi_violation,violation,expected_violation
32,fault_remove_random,fault,0.7474,0.0,23869.7058,True,True,True,True
32,fault_change_target_qubit,fault,0.4978,0.0,19845.2288,True,True,True,True
33,identity,valid,0.0122,0.0426,8.1692,False,False,False,False
33,barrier,valid,0.0118,0.0533,7.6725,False,False,False,False
33,commute,valid,0.0064,0.4345,2.7339,False,False,False,False
33,fault_add_x,fault,0.013,0.0531,7.6811,False,False,False,True
33,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
33,fault_change_target_qubit,fault,0.5034,0.0,19931.1969,True,True,True,True
34,identity,valid,0.0037,0.4654,0.5329,False,False,False,False
34,barrier,valid,0.0027,0.5961,0.2809,False,False,False,False
34,commute,valid,0.0028,0.5892,0.2916,False,False,False,False
34,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
34,fault_remove_random,fault,0.5036,0.0,13460.7546,True,True,True,True
34,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
35,identity,valid,0.0004,0.9442,0.0049,False,False,False,False
35,barrier,valid,0.0005,0.9203,0.01,False,False,False,False
35,commute,valid,0.0042,0.4065,0.6889,False,False,False,False
35,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
35,fault_remove_random,fault,0.0092,0.0672,3.3491,False,False,False,True
35,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
36,identity,valid,0.0123,0.2479,9.0667,False,False,False,False
36,barrier,valid,0.0095,0.4778,6.5445,False,False,False,False
36,commute,valid,0.0127,0.3328,7.9979,False,False,False,False
36,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
36,fault_remove_random,fault,0.4969,0.0,13228.463,True,True,True,True
36,fault_change_target_qubit,fault,0.0132,0.1844,10.0747,False,False,False,True
37,identity,valid,0.0,1.0,0.0,False,False,False,False
37,barrier,valid,0.0,1.0,0.0,False,False,False,False
37,commute,valid,0.0,1.0,0.0,False,False,False,False
37,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
37,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
37,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
38,identity,valid,0.0091,0.682,4.8196,False,False,False,False
38,barrier,valid,0.0111,0.4718,6.5987,False,False,False,False
38,commute,valid,0.007,0.9102,2.7137,False,False,False,False
38,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
38,fault_remove_random,fault,0.4998,0.0,13326.865,True,True,True,True
38,fault_change_target_qubit,fault,0.0097,0.5048,6.3033,False,False,False,True
39,identity,valid,0.0082,0.3026,3.6434,False,False,False,False
39,barrier,valid,0.0057,0.624,1.7588,False,False,False,False
39,commute,valid,0.0099,0.1538,5.2583,False,False,False,False
39,fault_add_x,fault,0.0091,0.286,3.7822,False,False,False,True
39,fault_remove_random,fault,0.5053,0.0,13524.3357,True,True,True,True
39,fault_change_target_qubit,fault,0.0088,0.3361,3.3843,False,False,False,True
40,identity,valid,0.0083,0.8243,3.6018,False,False,False,False
40,barrier,valid,0.0067,0.9128,2.6815,False,False,False,False
40,commute,valid,0.0095,0.5418,5.9828,False,False,False,False
40,fault_add_x,fault,0.0062,0.9389,2.3359,False,False,False,True
40,fault_remove_random,fault,0.4982,0.0,13274.5275,True,True,True,True
40,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
41,identity,valid,0.0,1.0,0.0,False,False,False,False
41,barrier,valid,0.0,1.0,0.0,False,False,False,False
41,commute,valid,0.0,1.0,0.0,False,False,False,False
41,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
41,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
41,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
42,identity,valid,0.0078,0.3038,3.634,False,False,False,False
42,barrier,valid,0.0029,0.931,0.444,False,False,False,False
42,commute,valid,0.0087,0.2595,4.018,False,False,False,False
42,fault_add_x,fault,0.0067,0.4196,2.824,False,False,False,True
42,fault_remove_random,fault,0.0061,0.4233,2.801,False,False,False,True
42,fault_change_target_qubit,fault,0.505,0.0,19913.4371,True,True,True,True
43,identity,valid,0.0,1.0,0.0,False,False,False,False
43,barrier,valid,0.0,1.0,0.0,False,False,False,False
43,commute,valid,0.0,1.0,0.0,False,False,False,False
43,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
43,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
43,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
44,identity,valid,0.0005,0.9283,0.0081,False,False,False,False
44,barrier,valid,0.0023,0.6455,0.2116,False,False,False,False
44,commute,valid,0.0015,0.7718,0.0841,False,False,False,False
44,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
44,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
44,fault_change_target_qubit,fault,0.0033,0.5157,0.4225,False,False,False,True
45,identity,valid,0.0029,0.5687,0.3249,False,False,False,False
45,barrier,valid,0.0079,0.1164,2.4649,False,False,False,False
45,commute,valid,0.0045,0.3681,0.8101,False,False,False,False
45,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
45,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
45,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
46,identity,valid,0.0,1.0,0.0,False,False,False,False
46,barrier,valid,0.0,1.0,0.0,False,False,False,False
46,commute,valid,0.0,1.0,0.0,False,False,False,False
46,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
46,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
46,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
47,identity,valid,0.0,1.0,0.0,False,False,False,False
47,barrier,valid,0.0,1.0,0.0,False,False,False,False
47,commute,valid,0.0,1.0,0.0,False,False,False,False
47,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
47,fault_remove_random,fault,0.0,1.0,0.0,False,False,False,True
47,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
48,identity,valid,0.0123,0.0143,6.0025,False,False,False,False
48,barrier,valid,0.0027,0.5892,0.2916,False,False,False,False
48,commute,valid,0.0057,0.2543,1.2997,False,False,False,False
48,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
48,fault_remove_random,fault,0.0041,0.4122,0.6725,False,False,False,True
48,fault_change_target_qubit,fault,0.0019,0.7039,0.1444,False,False,False,True
49,identity,valid,0.0012,0.8181,0.0529,False,False,False,False
49,barrier,valid,0.0008,0.8729,0.0256,False,False,False,False
49,commute,valid,0.004,0.4295,0.6241,False,False,False,False
49,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
49,fault_remove_random,fault,0.5015,0.0,13388.8905,True,True,True,True
49,fault_change_target_qubit,fault,0.748,0.0,23898.1569,True,True,True,True
50,identity,valid,0.0002,0.9761,0.0009,False,False,False,False
50,barrier,valid,0.0004,0.9442,0.0049,False,False,False,False
50,commute,valid,0.0011,0.8259,0.0484,False,False,False,False
50,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
50,fault_remove_random,fault,0.4986,0.0,13279.1636,True,True,True,True
50,fault_change_target_qubit,fault,0.0088,0.0801,3.0626,False,False,False,True
51,identity,valid,0.0108,0.0491,7.8537,False,False,False,False
51,barrier,valid,0.0102,0.1963,4.6855,False,False,False,False
51,commute,valid,0.0127,0.0091,11.5377,False,True,True,False
51,fault_add_x,fault,0.0108,0.0589,7.448,False,False,False,True
51,fault_remove_random,fault,0.5008,0.0,13360.3934,True,True,True,True
51,fault_change_target_qubit,fault,0.748,0.0,23900.3155,True,True,True,True
